Number,State,Value,Param dfa_EarlyBirdDFA1,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
84,COMPLETE,10.425471977715876,4938.583443366361,0.0364,1.8050000000000002,1.7993999999999999,4.176,0.18460000000000001,1417.1022,0.8148
85,COMPLETE,10.312124122562674,4821.4303391210615,0.048,1.7886,1.7942,4.131,0.17880000000000001,1421.8628,0.8202
86,COMPLETE,10.120872757660168,4559.7926234943825,0.065,1.7696,1.7802,4.8124,0.2032,1383.7166,0.7956000000000001
87,COMPLETE,10.428222841225626,4883.334431483055,0.038400000000000004,1.8414000000000001,1.825,3.6892000000000005,0.1656,1457.94,0.8343999999999999
88,COMPLETE,10.302354540389972,4846.788638815565,0.0496,1.8204,1.8210000000000002,4.0994,0.17980000000000002,1433.0464,0.817
89,COMPLETE,10.38668991643454,4544.230508648587,0.0416,1.8032,1.809,3.6344000000000003,0.16899999999999998,1440.8283999999999,0.8295999999999999
90,COMPLETE,10.195250362116992,4922.952821310107,0.0596,1.7917999999999998,1.8026,4.0148,0.18280000000000002,1420.2944,0.8164
91,COMPLETE,10.272082116991644,4905.9498296794045,0.0546,1.8186,1.8244,3.3098,0.154,1468.4574,0.8455999999999999
92,COMPLETE,10.454992646239555,4957.703374117932,0.034,1.8378,1.8186,4.2624,0.1878,1427.0118,0.8116
93,COMPLETE,10.298417381615598,2898.6879282562945,0.051000000000000004,1.812,1.8034,3.4520000000000004,0.16140000000000002,1451.1092,0.8366
94,COMPLETE,10.360347409470752,4825.282374047732,0.0432,1.8028,1.8146,3.9398000000000004,0.1834,1422.2636,0.8150000000000001
95,COMPLETE,10.333605348189415,2932.4154904608695,0.047599999999999996,1.8092,1.8072,3.4764000000000004,0.1592,1453.2415999999998,0.8404
96,COMPLETE,10.152573036211699,2742.657722900228,0.0646,1.8097999999999999,1.798,4.1334,0.177,1433.4386,0.8224
97,COMPLETE,10.389428969359331,4984.375998551188,0.0398,1.7952000000000001,1.7917999999999998,4.2018,0.184,1413.435,0.8130000000000001
98,COMPLETE,10.266939275766017,4961.830465311615,0.0534,1.7876,1.7835999999999999,3.8506,0.16040000000000001,1437.6860000000001,0.8374
99,COMPLETE,10.201930807799444,4572.686632854678,0.0588,1.7832000000000001,1.8068000000000002,3.8318,0.1852,1417.9258,0.8144
