Number,State,Value,Param dfa_CTDBlueDFA,Param dfa_EarlyBirdDFA1,Param dfa_VegBlueDFA,UserAttribute norm_CTD,UserAttribute norm_EarlyBird,UserAttribute norm_Penalty1(total),UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
84,COMPLETE,1060.5985412256266,831.9397977080429,1226.9165369036768,172.82662426157006,0.0046,0.0442,2.3196000000000003,2.315,1.1716,1.1434,1.1716,1.1434,2.1944,0.12079999999999999,1258.3690000000001,0.8775999999999999
85,COMPLETE,1072.4460267409472,51.6402208562304,3042.9497435639396,348.19863641523756,0.020399999999999998,0.0348,1.1452,1.1248,0.5726,0.5522,0.5726,0.5522,2.1277999999999997,0.11359999999999999,1019.608,0.8826
86,COMPLETE,1071.378431977716,148.0389418280349,2367.936652783436,153.24099487129746,0.0112,0.0324,2.6912,2.68,1.335,1.345,1.335,1.345,1.9492,0.0996,1361.3854,0.8997999999999999
87,COMPLETE,1057.3655437325906,277.1309495297733,1950.7288562162553,156.74099143659225,0.005,0.0468,2.5846,2.5796,1.2852000000000001,1.2944,1.2852000000000001,1.2944,2.107,0.1116,1327.481,0.8868
88,COMPLETE,743.0343088022283,899.0859007637207,2270.6673312383714,1149.5415183834155,0.008799999999999999,0.3664,0.1086,0.0998,0.0518,0.048,0.0518,0.048,31.969,0.3432,-172.66320000000002,0.0
89,COMPLETE,1068.8315766573817,878.0817537884693,4575.539274475574,728.8284314664937,0.0048000000000000004,0.039,1.0234,1.0186,0.4908,0.5277999999999999,0.4908,0.5277999999999999,3.4198,0.1582,894.0476000000001,0.8076000000000001
90,COMPLETE,1057.9238605013927,775.7970858989638,1863.3802364163585,521.125437150326,0.0073999999999999995,0.0498,1.0554000000000001,1.048,0.538,0.51,0.538,0.51,2.846,0.1404,949.3046,0.8448
91,COMPLETE,1071.5444871866296,445.8232206072392,4517.276352965549,495.61328003088886,0.006,0.036199999999999996,1.069,1.0630000000000002,0.558,0.505,0.558,0.505,2.1744,0.1204,990.817,0.8724000000000001
92,COMPLETE,1053.2342691364902,1576.6947096040985,2486.6642998990974,293.70612630497754,0.009600000000000001,0.0538,1.3386,1.329,0.6498,0.6792,0.6498,0.6792,1.834,0.1076,1071.2006,0.8906000000000001
93,COMPLETE,1065.4720576601671,621.1935541698422,2604.7215222574687,220.14962183232686,0.008799999999999999,0.0402,1.919,1.9102000000000001,0.9656,0.9446,0.9656,0.9446,1.8488,0.1062,1198.266,0.893
94,COMPLETE,1059.6294854038997,225.5689456104049,709.2147203082422,209.39300680907422,0.0052,0.0454,2.2254,2.2202,1.1046,1.1156000000000001,1.1046,1.1156000000000001,1.7688,0.0938,1274.4238,0.9014
95,COMPLETE,1069.5879469637882,1255.3646296600095,4667.32244974466,344.0544472042805,0.0026,0.038,1.1622,1.1596,0.5732,0.5864,0.5732,0.5864,2.3138,0.1386,990.7448,0.859
96,COMPLETE,1063.4927506963788,213.71466742829776,2203.3816573513527,172.41386517439818,0.0092,0.040999999999999995,2.4106,2.4013999999999998,1.1965999999999999,1.2048,1.1965999999999999,1.2048,1.7681999999999998,0.099,1303.6200000000001,0.8976000000000001
97,COMPLETE,1066.5322313649026,100.71948927139601,1512.4479462763225,164.56163371557756,0.014799999999999999,0.0376,2.5098,2.495,1.2416,1.2534,1.2416,1.2534,2.0692,0.0968,1327.8178,0.9018
98,COMPLETE,1072.3038182729804,182.7622173117078,4524.351928246426,104.92405148595216,0.028000000000000004,0.0298,3.2108,3.1828,1.5872,1.5956,1.5872,1.5956,3.29,0.1568,1365.6688,0.8422000000000001
99,COMPLETE,1060.4434159888579,325.45272177545525,4562.273791553253,80.8219091683997,0.020200000000000003,0.0416,3.3091999999999997,3.289,1.6393999999999997,1.6496,1.6393999999999997,1.6496,3.3152,0.1648,1383.7941999999998,0.835
