Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
0,0,1,1121.0,0,1,0,1,win
1,0,0,1108.0,0,1,1,0,win
0,0,1,1130.0,0,1,0,1,win
1,0,0,1033.0,0,1,1,0,win
1,0,0,1127.0,0,1,1,0,win
1,0,0,1143.0,0,1,1,0,win
0,0,1,1130.0,0,1,0,1,win
1,0,0,1157.0,0,1,1,0,win
0,0,1,1154.0,0,1,0,1,win
1,0,0,91.0,0,1,1,0,lose
1,0,0,110.0,0,1,1,0,lose
0,0,1,1116.0,0,1,0,1,win
0,0,1,1141.0,0,1,0,1,win
1,0,0,1155.0,0,1,1,0,win
1,0,0,1163.0,0,1,1,0,win
1,0,1,1354.0,0,2,1,1,win
0,0,1,1160.0,0,1,0,1,win
1,0,0,83.0,0,1,1,0,lose
0,0,1,1118.0,0,1,0,1,win
1,0,1,1314.0,0,2,1,1,win
0,0,1,1130.0,0,1,0,1,win
1,0,0,1076.0,0,1,1,0,win
1,0,1,239.0,0,2,1,1,lose
1,0,0,1089.0,0,1,1,0,win
0,0,1,-24.0,0,1,0,1,lose
0,0,1,1150.0,0,1,0,1,win
0,0,1,1093.0,0,1,0,1,win
0,0,1,51.0,0,1,0,1,lose
0,0,1,-136.0,0,1,0,1,lose
0,0,1,1168.0,0,1,0,1,win
1,0,0,1111.0,0,1,1,0,win
1,0,0,1100.0,0,1,1,0,win
1,0,0,86.0,0,1,1,0,lose
1,0,0,1086.0,0,1,1,0,win
1,0,0,1130.0,0,1,1,0,win
1,0,1,1338.0,0,2,1,1,win
1,0,0,1119.0,0,1,1,0,win
1,0,0,1119.0,0,1,1,0,win
0,0,1,1127.0,0,1,0,1,win
0,0,1,1147.0,0,1,0,1,win
1,0,0,1138.0,0,1,1,0,win
1,0,0,1114.0,0,1,1,0,win
0,0,1,1143.0,0,1,0,1,win
1,0,0,1139.0,0,1,1,0,win
0,0,1,1117.0,0,1,0,1,win
0,0,1,1155.0,0,1,0,1,win
1,0,0,1119.0,0,1,1,0,win
1,0,0,1120.0,0,1,1,0,win
0,0,1,118.0,0,1,0,1,lose
1,0,0,1144.0,0,1,1,0,win
0,0,1,1140.0,0,1,0,1,win
1,0,0,17.0,0,1,1,0,lose
1,0,0,1149.0,0,1,1,0,win
0,0,1,-34.0,0,1,0,1,lose
1,0,0,1084.0,0,1,1,0,win
0,0,1,1131.0,0,1,0,1,win
1,0,0,1148.0,0,1,1,0,win
1,0,0,40.0,0,1,1,0,lose
0,0,1,1074.0,0,1,0,1,win
0,0,1,1139.0,0,1,0,1,win
1,0,0,-194.0,0,1,1,0,lose
1,0,0,1138.0,0,1,1,0,win
0,0,1,1171.0,0,1,0,1,win
1,0,0,-71.0,0,1,1,0,lose
0,0,1,1104.0,0,1,0,1,win
0,0,1,1114.0,0,1,0,1,win
1,0,0,1142.0,0,1,1,0,win
1,0,1,1348.0,0,2,1,1,win
0,0,1,1080.0,0,1,0,1,win
1,0,0,1125.0,0,1,1,0,win
0,0,1,1137.0,0,1,0,1,win
1,0,1,1324.0,0,2,1,1,win
0,0,1,1144.0,0,1,0,1,win
0,0,1,-62.0,0,1,0,1,lose
1,0,0,1153.0,0,1,1,0,win
1,0,0,1081.0,0,1,1,0,win
1,0,0,1152.0,0,1,1,0,win
0,0,1,-199.0,0,1,0,1,lose
1,0,0,1103.0,0,1,1,0,win
1,0,1,1248.0,0,2,1,1,win
0,0,1,1101.0,0,1,0,1,win
1,0,0,138.0,0,1,1,0,lose
1,0,1,1261.0,0,2,1,1,win
0,0,1,1027.0,0,1,0,1,win
1,0,0,1125.0,0,1,1,0,win
1,0,1,1300.0,0,2,1,1,win
0,0,1,1051.0,0,1,0,1,win
1,0,0,1160.0,0,1,1,0,win
0,0,1,52.0,0,1,0,1,lose
0,0,1,1102.0,0,1,0,1,win
0,0,1,1125.0,0,1,0,1,win
0,0,1,1119.0,0,1,0,1,win
0,0,1,1142.0,0,1,0,1,win
0,0,1,113.0,0,1,0,1,lose
0,0,1,1132.0,0,1,0,1,win
1,0,0,1107.0,0,1,1,0,win
1,0,0,1173.0,0,1,1,0,win
0,0,1,1140.0,0,1,0,1,win
1,0,1,1270.0,0,2,1,1,win
0,0,1,1119.0,0,1,0,1,win
1,0,0,1155.0,0,1,1,0,win
1,0,0,1116.0,0,1,1,0,win
0,0,1,1069.0,0,1,0,1,win
1,0,0,1145.0,0,1,1,0,win
0,0,1,1144.0,0,1,0,1,win
0,0,1,1138.0,0,1,0,1,win
0,0,1,1144.0,0,1,0,1,win
